Banners,Banners
"Add New Banner","Add New Banner"
"Save banner","Save banner"
"Save and Continue Edit","Save and Continue Edit"
"Delete Banner","Delete Banner"
"Edit Form '%1'","Edit Form '%1'"
"New Form","New Form"
ID,ID
Title,Title
Images,Images
"Image Url","Image Url"
Active,Active
Position,Position
Action,Action
"Banner Information","Banner Information"
"Banner Title","Banner Title"
Identifier,Identifier
"Relative to Web Site Base URL","Relative to Web Site Base URL"
"Url image","Url image"
"Input path http:// or Choose image file","Input path http:// or Choose image file"
Image,Image
"Show Image","Show Image"
"Video Types","Video Types"
"Video ID","Video ID"
Label,Label
Description,Description
"Created time","Created time"
"Click here","Click here"
SEO,SEO
"Page Title","Page Title"
Keywords,Keywords
"Meta Keywords","Meta Keywords"
"Meta Description","Meta Description"
Information,Information
"Save Category","Save Category"
"Delete Category","Delete Category"
"Category Information","Category Information"
Name,Name
"Store View","Store View"
"Category banner","Category banner"
"Import Configuration","Import Configuration"
"Lof Gallery","Lof Gallery"
"Lof Gallery Import","Lof Gallery Import"
"Upload Custom File","Upload Custom File"
Categories,Categories
"Add New Category","Add New Category"
Home,Home
"Go to Home Page","Go to Home Page"
name,name
Gallery,Gallery
Form,Form
"You deleted the banner.","You deleted the banner."
"We can't find a banner to delete.","We can't find a banner to delete."
"This Banner no longer exists.","This Banner no longer exists."
"Edit Banner","Edit Banner"
"New Banner","New Banner"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"This banner no longer exists.","This banner no longer exists."
"You saved the banner.","You saved the banner."
"You duplicated this banner.","You duplicated this banner."
"Something went wrong while duplicating the banner.","Something went wrong while duplicating the banner."
Category,Category
"You deleted the category.","You deleted the category."
"We can't find a category to delete.","We can't find a category to delete."
"This form no longer exists.","This form no longer exists."
"Edit Category","Edit Category"
"New Category","New Category"
"This Category no longer exists.","This Category no longer exists."
"You saved the Category.","You saved the Category."
"You duplicated this category.","You duplicated this category."
"Something went wrong while duplicating the category.","Something went wrong while duplicating the category."
Import,Import
Enabled,Enabled
Disabled,Disabled
Twitter,Twitter
Facebook,Facebook
"Google Plus","Google Plus"
Instagram,Instagram
LinkedIn,LinkedIn
Pinterest,Pinterest
Empty,Empty
"1 column","1 column"
"2 columns with left bar","2 columns with left bar"
